SKU,Product,Purchase,Selling
CBM-001,Sanstha Portland Composite Cement,2400,2600
CBM-002,Portland Composite Cement,2400,2600
CBM-003,Tokyo Superbond Cement,2450,2650
CBM-004,Lanwa Cement,2350,2550
CBM-005,Sanstha Cement,2350,2550
CBM-006,River Sand,12000,14500
CBM-007,Manufactured Sand,9000,11000
CBM-008,Crushed Stone Aggregate 3/4in,11000,13500
CBM-009,Crushed Stone Aggregate 1/2in,11000,13500
CBM-010,Metal Aggregate 3/4in,11000,13500
CBM-011,Brick,22,28
CBM-012,Cement Block 4in,95,120
CBM-013,Cement Block 6in,130,160
CBM-014,Cement Block 8in,160,195
CBM-015,Block Gal,95,120
CBM-016,Binding Wire,420,500
CBM-017,Building Lime,850,1050
CBM-018,Plastering Sand,12000,14500
CBM-019,Quarry Dust,7500,9500
CBM-020,Concrete Admixture,750,950
CBM-021,Construction Adhesive,850,1100
CBM-022,Tile Adhesive,1450,1800
CBM-023,Polymer Modified Tile Grout,900,1150
CBM-024,Waterproofing Compound,950,1200
CBM-025,Concrete Curing Compound,900,1150
STM-001,Reinforcement Bar 10mm,1850,2150
STM-002,Reinforcement Bar 12mm,2700,3100
STM-003,Reinforcement Bar 16mm,4800,5500
STM-004,Reinforcement Bar 20mm,7500,8600
STM-005,Reinforcement Bar 25mm,11700,13400
STM-006,Reinforcement Bar 10mm MELBN,1800,2100
STM-007,Reinforcement Bar 12mm MELBN,2650,3050
STM-008,Reinforcement Bar 16mm MELBN,4700,5400
STM-009,Reinforcement Bar 20mm MELBN,7400,8500
STM-010,GI Box Bar 1x1,2400,2850
STM-011,GI Box Bar 2x1,3400,4000
STM-012,GI Box Bar 2x2,4900,5700
STM-013,MS Angle Bar,3200,3800
STM-014,MS Flat Bar,2200,2650
STM-015,GI Sheet,3800,4500
STM-016,Mild Steel Sheet,6500,7600
STM-017,GI Wire,480,570
STM-018,Welding Rod,750,900
STM-019,Expanded Metal Mesh,3200,3850
STM-020,Welded Wire Mesh,4200,5000
PLB-001,uPVC Pipe 1/2in,450,560
PLB-002,uPVC Pipe 3/4in,620,770
PLB-003,uPVC Pipe 1in,950,1180
PLB-004,uPVC Pipe 1 1/4in,1450,1780
PLB-005,uPVC Pipe 1 1/2in,1750,2150
PLB-006,uPVC Pipe 2in,2600,3150
PLB-007,CPVC Pipe 1/2in,950,1180
PLB-008,CPVC Pipe 3/4in,1350,1650
PLB-009,uPVC Elbow 1/2in,45,65
PLB-010,uPVC Elbow 3/4in,60,85
PLB-011,uPVC Tee 1/2in,55,80
PLB-012,uPVC Tee 3/4in,75,105
PLB-013,uPVC Coupler 1/2in,35,55
PLB-014,uPVC Coupler 3/4in,48,70
PLB-015,Ball Valve 1/2in,480,620
PLB-016,Ball Valve 3/4in,680,850
PLB-017,Solvent Cement,550,700
PLB-018,Electrical Conduit 20mm,240,320
PLB-019,Rainwater Gutter,1450,1800
PLB-020,Flexible Hose,380,520
PLB-021,Anton Water Pipe,900,1120
PLB-022,Anton Pipe Fitting,120,165
PLB-023,Anton Water Tank,24000,28500
PLB-024,ERA Plumbing Fitting,150,210
