Category,Brand,Product Name,Unit,SKU
Cement & Building Materials,INSEE,Sanstha Portland Composite Cement,bag,CBM-001
Cement & Building Materials,INSEE,Portland Composite Cement,bag,CBM-002
Cement & Building Materials,Tokyo Cement,Tokyo Superbond Cement,bag,CBM-003
Cement & Building Materials,Lanwa,Lanwa Cement,bag,CBM-004
Cement & Building Materials,Sanstha,Sanstha Cement,bag,CBM-005
Cement & Building Materials,Generic,River Sand,m³,CBM-006
Cement & Building Materials,Generic,Manufactured Sand,m³,CBM-007
Cement & Building Materials,Generic,"Crushed Stone Aggregate 3/4""",m³,CBM-008
Cement & Building Materials,Generic,"Crushed Stone Aggregate 1/2""",m³,CBM-009
Cement & Building Materials,Generic,"Metal Aggregate 3/4""",m³,CBM-010
Cement & Building Materials,Generic,Brick,piece,CBM-011
Cement & Building Materials,Generic,"Cement Block 4""",piece,CBM-012
Cement & Building Materials,Generic,"Cement Block 6""",piece,CBM-013
Cement & Building Materials,Generic,"Cement Block 8""",piece,CBM-014
Cement & Building Materials,Generic,Block Gal,piece,CBM-015
Cement & Building Materials,Generic,Binding Wire,kg,CBM-016
Cement & Building Materials,Generic,Building Lime,bag,CBM-017
Cement & Building Materials,Generic,Plastering Sand,m³,CBM-018
Cement & Building Materials,Generic,Quarry Dust,m³,CBM-019
Cement & Building Materials,Generic,Concrete Admixture,litre,CBM-020
Cement & Building Materials,St. Anthony's,Construction Adhesive,tube,CBM-021
Cement & Building Materials,Swisstek,Tile Adhesive,bag,CBM-022
Cement & Building Materials,Swisstek,Polymer Modified Tile Grout,bag,CBM-023
Cement & Building Materials,Generic,Waterproofing Compound,kg,CBM-024
Cement & Building Materials,Generic,Concrete Curing Compound,litre,CBM-025
Steel & Metal,MELWA,High Tensile Reinforcement Bar 10mm,length,STM-001
Steel & Metal,MELWA,High Tensile Reinforcement Bar 12mm,length,STM-002
Steel & Metal,MELWA,High Tensile Reinforcement Bar 16mm,length,STM-003
Steel & Metal,MELWA,High Tensile Reinforcement Bar 20mm,length,STM-004
Steel & Metal,MELWA,High Tensile Reinforcement Bar 25mm,length,STM-005
Steel & Metal,MELBN,High Tensile Reinforcement Bar 10mm,length,STM-006
Steel & Metal,MELBN,High Tensile Reinforcement Bar 12mm,length,STM-007
